# High Gain Weights: 4 10
# (Amplitude)  (Time)
-0.118587 -0.759939               0
-0.263645 -0.75009                0
-0.310214 -0.780472               0
-0.463437 -0.711066               0
-0.512875 -0.632303               0
-0.540826 -0.498066               0
-0.619144 -0.330405               0
-0.677085 -0.119447               0
-0.716893 0.216855                0
-0.659267 0.801966                0
-0.364716 1.56853                 0
-0.0164067 1.77302                0
0.0977922 1.94953                 0
0.53287 2.07799                   0
0.703428 1.98081                  0
0.780245 1.66725                  0
1.02748 1.54473                   0
1.27718 1.39987                   0
1.58343 1.35047                   0
1.83609 1.33001                   0
2.04624 0.540095                  0
2.07248 0.0345484                 0
2.04722 -0.284436                 0
1.90993 -0.748188                 0
1.83718 -0.983809                 0
1.78393 -1.0628                   0
1.60923 -1.28475                  0
1.38147 -1.42858                  0
1.03132 -1.76524                  0
0.697112 -2.15254                 0
0.219843 -1.40928                 0
0.0677385 -1.03865                0
0.0163863 -0.920451               0
-0.0953869 -0.530027              0
-0.0884961 -0.345785              0
-0.118639 -0.213164               0
-0.141397 -0.0617509              0
-0.158478 0.0285188               0
-0.151498 0.140743                0
-0.120191 0.23417                 0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
0 0                               0
# Low Gain Weights: 6 10          
# (Amplitude)  (Time)             
0.0446612 -0.385273               0
0.038191 -0.00418687              0
0.0386966 0.0212324               0
0.0402881 0.0744799               0
0.0415794 0.229615                0
0.0598731 0.44332                 0
0.0758477 0.661518                0
0.101509 1.10641                  0
0.159323 1.64997                  0
0.497256 2.83685                  0
0.245087 3.27499                  0
0.140546 2.46177                  0
0.58086 2.2849                    0
0.632721 2.45587                  0
0.72819 2.52835                   0
0.889583 2.48099                  0
0.980812 2.50031                  0
1.09885 2.55892                   0
1.21374 2.78769                   0
1.61928 3.08069                   0
1.38544 1.95583                   0
1.31998 1.1792                    0
1.50633 0.591226                  0
1.50916 0.0793899                 0
1.5008 -0.33188                   0
1.47339 -0.575386                 0
1.45362 -0.915309                 0
1.40214 -1.31593                  0
1.34175 -1.77904                  0
1.0661 -2.05471                   0
1.31087 -1.49798                  0
1.33793 -1.34758                  0
1.10172 -1.21719                  0
1.08133 -1.09356                  0
1.04007 -0.981455                 0
0.976745 -1.08299                 0
0.930979 -1.14774                 0
0.874203 -1.18348                 0
0.816708 -1.20126                 0
0.587354 -1.92869                 0
0.783078 -1.89621                 0
0.792771 -1.03439                 0
0.622278 -0.781807                0
0.61184 -0.745831                 0
0.578792 -0.683741                0
0.537336 -0.596328                0
0.51443 -0.592858                 0
0.482294 -0.560586                0
0.462351 -0.827587                0
0.317989 -1.05649                 0
0.459672 -0.775035                0
0.468287 -0.619961                0
0.374182 -0.31635                 0
0.376946 -0.225242                0
0.367075 -0.347444                0
0.340737 -0.393231                0
0.321054 -0.187384                0
0.320654 -0.225558                0
0.302148 -0.399499                0
0.232954 -0.607578                0
