# High Gain Weights: 10 10
# (Amplitude)  (Time) 
-0.58121 -5.87941         0
-0.6795 -5.93277          0
-0.778453 -5.94334        0
-0.877262 -5.90919        0
-0.975084 -5.82862        0
-1.07106 -5.70014         0
-1.16428 -5.52262         0
-1.25386 -5.29528         0
-1.33889 -5.01745         0
-1.41845 -4.68897         0
-1.10123 -0.503345        0
-1.1055 0.00732161        0
-1.10071 0.538021         0
-1.08651 1.08556          0
-1.06265 1.6465           0
-1.0289 2.21712           0
-0.985169 2.79381         0
-0.931382 3.3729          0
-0.867577 3.95017         0
-0.793869 4.52156         0
-0.732148 6.94018         0
-0.61223 7.48841          0
-0.482946 8.00584         0
-0.344906 8.48814         0
-0.198799 8.93154         0
-0.0453747 9.33193        0
0.114514 9.68562          0
0.27998 9.98929           0
0.450051 10.2395          0
0.623709 10.4337          0
1.27929 9.89078           0
1.44405 9.91358           0
1.60887 9.87489           0
1.7726 9.77404            0
1.9341 9.61064            0
2.09222 9.38519           0
2.24585 9.09791           0
2.39386 8.74972           0
2.5352 8.34248            0
2.6688 7.87747            0
2.20159 7.6767            0
2.32457 7.09547           0
2.43719 6.46977           0
2.53867 5.80405           0
2.62833 5.10291           0
2.70558 4.37122           0
2.76995 3.6143            0
2.82107 2.83714           0
2.85865 2.04486           0
2.88252 1.24321           0
2.73623 -0.842288         0
2.71582 -1.62074          0
2.68205 -2.38851          0
2.63517 -3.14004          0
2.57555 -3.87047          0
2.50362 -4.57514          0
2.41992 -5.24919          0
2.32509 -5.88822          0
2.21982 -6.48816          0
2.10491 -7.04516          0
2.41839 -8.75222          0
2.269 -9.20297            0
2.1124 -9.59137           0
1.94975 -9.91647          0
1.78221 -10.1768          0
1.61098 -10.372           0
1.43725 -10.5021          0
1.26219 -10.5673          0
1.08697 -10.5684          0
0.912718 -10.5064         0
0.894181 -10.3883         0
0.722625 -10.2278         0
0.554397 -10.0119         0
0.390485 -9.74353         0
0.231815 -9.42622         0
0.0792163 -9.0635         0
-0.0665269 -8.65917       0
-0.204746 -8.21739        0
-0.334828 -7.74192        0
-0.456247 -7.237          0
-0.939311 -4.14822        0
-1.00319 -3.52754         0
-1.05625 -2.90491         0
-1.0985 -2.28475          0
-1.13004 -1.67152         0
-1.15106 -1.06907         0
-1.16181 -0.481082        0
-1.16263 0.0887083        0
-1.15391 0.636921         0
-1.13612 1.16048          0
-1.28655 4.74683          0
-1.20495 5.05336          0
-1.11851 5.30847          0
-1.02818 5.5127           0
-0.934869 5.66709         0
-0.839486 5.77285         0
-0.742903 5.83146         0
-0.645946 5.84479         0
-0.549406 5.81487         0
-0.454032 5.74392         0
# Low Gain Weights: 10 10 
# (Amplitude)  (Time)     
-0.58121 -5.87941         0
-0.6795 -5.93277          0
-0.778453 -5.94334        0
-0.877262 -5.90919        0
-0.975084 -5.82862        0
-1.07106 -5.70014         0
-1.16428 -5.52262         0
-1.25386 -5.29528         0
-1.33889 -5.01745         0
-1.41845 -4.68897         0
-1.10123 -0.503345        0
-1.1055 0.00732161        0
-1.10071 0.538021         0
-1.08651 1.08556          0
-1.06265 1.6465           0
-1.0289 2.21712           0
-0.985169 2.79381         0
-0.931382 3.3729          0
-0.867577 3.95017         0
-0.793869 4.52156         0
-0.732148 6.94018         0
-0.61223 7.48841          0
-0.482946 8.00584         0
-0.344906 8.48814         0
-0.198799 8.93154         0
-0.0453747 9.33193        0
0.114514 9.68562          0
0.27998 9.98929           0
0.450051 10.2395          0
0.623709 10.4337          0
1.27929 9.89078           0
1.44405 9.91358           0
1.60887 9.87489           0
1.7726 9.77404            0
1.9341 9.61064            0
2.09222 9.38519           0
2.24585 9.09791           0
2.39386 8.74972           0
2.5352 8.34248            0
2.6688 7.87747            0
2.20159 7.6767            0
2.32457 7.09547           0
2.43719 6.46977           0
2.53867 5.80405           0
2.62833 5.10291           0
2.70558 4.37122           0
2.76995 3.6143            0
2.82107 2.83714           0
2.85865 2.04486           0
2.88252 1.24321           0
2.73623 -0.842288         0
2.71582 -1.62074          0
2.68205 -2.38851          0
2.63517 -3.14004          0
2.57555 -3.87047          0
2.50362 -4.57514          0
2.41992 -5.24919          0
2.32509 -5.88822          0
2.21982 -6.48816          0
2.10491 -7.04516          0
2.41839 -8.75222          0
2.269 -9.20297            0
2.1124 -9.59137           0
1.94975 -9.91647          0
1.78221 -10.1768          0
1.61098 -10.372           0
1.43725 -10.5021          0
1.26219 -10.5673          0
1.08697 -10.5684          0
0.912718 -10.5064         0
0.894181 -10.3883         0
0.722625 -10.2278         0
0.554397 -10.0119         0
0.390485 -9.74353         0
0.231815 -9.42622         0
0.0792163 -9.0635         0
-0.0665269 -8.65917       0
-0.204746 -8.21739        0
-0.334828 -7.74192        0
-0.456247 -7.237          0
-0.939311 -4.14822        0
-1.00319 -3.52754         0
-1.05625 -2.90491         0
-1.0985 -2.28475          0
-1.13004 -1.67152         0
-1.15106 -1.06907         0
-1.16181 -0.481082        0
-1.16263 0.0887083        0
-1.15391 0.636921         0
-1.13612 1.16048          0
-1.28655 4.74683          0
-1.20495 5.05336          0
-1.11851 5.30847          0
-1.02818 5.5127           0
-0.934869 5.66709         0
-0.839486 5.77285         0
-0.742903 5.83146         0
-0.645946 5.84479         0
-0.549406 5.81487         0
-0.454032 5.74392         0


