# High Gain Weights: 6 10
# (Amplitude)  (Time)
0.296762 -0.632805         0
0.052669 -1.03525          0
-0.259279 -0.926851        0
-0.435774 -0.963835        0
-0.583858 -0.843637        0
-0.653866 -0.665019        0
-0.722997 -0.627056        0
-0.7894 -0.481322          0
-0.916398 -0.314016        0
-1.05471 0.000154063       0
-1.23631 1.12827           0
-0.772589 1.98746          0
-0.166435 1.84358          0
0.202461 2.02063           0
0.509947 1.80846           0
0.669284 1.54607           0
0.834405 1.63452           0
0.998756 1.44834           0
1.28039 1.37314            0
1.63214 1.43295            0
2.18222 1.3064             0
2.41072 0.532674           0
2.32602 -0.191982          0
2.17997 -0.682484          0
2.01379 -0.865313          0
1.91545 -1.0259            0
1.79855 -1.3302            0
1.64895 -1.45366           0
1.34434 -1.67446           0
0.873027 -2.09955          0
0.0473139 -2.34944         0
-0.451361 -1.53652         0
-0.523845 -0.485103        0
-0.431676 -0.0878126       0
-0.332904 0.169116         0
-0.297262 0.238137         0
-0.270423 0.350654         0
-0.245929 0.419744         0
-0.173941 0.511192         0
-0.0119864 0.561345        0
0.202838 0.416069          0
0.267667 0.122226          0
0.200201 -0.132905         0
0.133702 -0.24494          0
0.0701731 -0.285589        0
0.0385833 -0.252528        0
0.0188702 -0.259152        0
0.00219847 -0.281877       0
-0.0460886 -0.324774       0
-0.155267 -0.309696        0
-0.257781 -0.0760684       0
-0.259848 0.0358922        0
-0.225765 0.0960974        0
-0.20464 0.128228          0
-0.176549 0.157698         0
-0.15318 0.150098          0
-0.144226 0.132703         0
-0.133485 0.149325         0
-0.111339 0.194484         0
-0.0410094 0.201485        0
# Low Gain Weights: 6 10   
# (Amplitude)  (Time)      
0.0446612 -0.385273        0
0.038191 -0.00418687       0
0.0386966 0.0212324        0
0.0402881 0.0744799        0
0.0415794 0.229615         0
0.0598731 0.44332          0
0.0758477 0.661518         0
0.101509 1.10641           0
0.159323 1.64997           0
0.497256 2.83685           0
0.245087 3.27499           0
0.140546 2.46177           0
0.58086 2.2849             0
0.632721 2.45587           0
0.72819 2.52835            0
0.889583 2.48099           0
0.980812 2.50031           0
1.09885 2.55892            0
1.21374 2.78769            0
1.61928 3.08069            0
1.38544 1.95583            0
1.31998 1.1792             0
1.50633 0.591226           0
1.50916 0.0793899          0
1.5008 -0.33188            0
1.47339 -0.575386          0
1.45362 -0.915309          0
1.40214 -1.31593           0
1.34175 -1.77904           0
1.0661 -2.05471            0
1.31087 -1.49798           0
1.33793 -1.34758           0
1.10172 -1.21719           0
1.08133 -1.09356           0
1.04007 -0.981455          0
0.976745 -1.08299          0
0.930979 -1.14774          0
0.874203 -1.18348          0
0.816708 -1.20126          0
0.587354 -1.92869          0
0.783078 -1.89621          0
0.792771 -1.03439          0
0.622278 -0.781807         0
0.61184 -0.745831          0
0.578792 -0.683741         0
0.537336 -0.596328         0
0.51443 -0.592858          0
0.482294 -0.560586         0
0.462351 -0.827587         0
0.317989 -1.05649          0
0.459672 -0.775035         0
0.468287 -0.619961         0
0.374182 -0.31635          0
0.376946 -0.225242         0
0.367075 -0.347444         0
0.340737 -0.393231         0
0.321054 -0.187384         0
0.320654 -0.225558         0
0.302148 -0.399499         0
0.232954 -0.607578         0
