# High Gain Weights: 4 10
# (Amplitude)  (Time)
-0.637443 -0.648763       0
-0.707555 -0.610204       0
-0.772465 -0.469694       0
-0.896081 -0.305143       0
-1.02783 0.00696361       0
-1.03684 0.731979         0
-0.73698 1.49428          0
-0.23419 1.57509          0
0.12767 1.83675           0
0.441087 1.70526          0
0.639658 1.50546          0
0.806192 1.58667          0
0.966865 1.41151          0
1.24058 1.34506           0
1.58293 1.39453           0
2.02092 1.46038           0
2.31508 0.8539            0
2.31705 0.051831          0
2.18497 -0.493294         0
2.01129 -0.749924         0
1.8675 -0.959329          0
1.75322 -1.25026          0
1.60962 -1.37231          0
1.3216 -1.58832           0
0.880364 -1.9924          0
0.219661 -2.50675         0
-0.35077 -1.96955         0
-0.553454 -0.855454       0
-0.491715 -0.387673       0
-0.38701 -0.0297507       0
-0.293549 0.092153        0
-0.278646 0.194742        0
-0.263716 0.25195         0
-0.221238 0.323789        0
-0.121941 0.381038        0
0.00379863 0.393009       0
0.0805122 0.201843        0
0.0443888 -0.0531952      0
-0.0199606 -0.175625      0
-0.0809393 -0.21419       0
# Low Gain Weights: 4 10
# (Amplitude)  (Time)
0.178287 2.98244          0
0.0799794 2.25048         0
0.501997 2.04566          0
0.559993 2.18952          0
0.636334 2.28558          0
0.784832 2.29757          0
0.894393 2.36602          0
1.01571 2.62578           0
1.14191 3.14701           0
1.70405 4.27635           0
1.25503 1.69442           0
1.19843 1.00804           0
1.36974 0.493838          0
1.37759 0.0452029         0
1.37174 -0.336051         0
1.34423 -0.563321         0
1.31669 -0.852661         0
1.26602 -1.28826          0
1.20062 -1.85625          0
0.874127 -2.44773         0
1.2433 -1.47361           0
1.27171 -1.3052           0
1.03025 -1.1211           0
1.00417 -0.992811         0
0.968251 -0.911359        0
0.907626 -1.02038         0
0.852293 -1.06813         0
0.797164 -1.16276         0
0.739386 -1.25445         0
0.447754 -2.34757         0
0.777349 -1.83155         0
0.779564 -1.01577         0
0.600426 -0.733238        0
0.5863 -0.688006          0
0.557156 -0.650488        0
0.514926 -0.584649        0
0.485323 -0.569089        0
0.454047 -0.573249        0
0.429026 -0.907077        0
0.245526 -1.35434         0
