# High Gain Weights: 6 10
# (Amplitude)  (Time)
-0.12431 0.185239              0
-0.0267055 0.0037991           0
-0.0259801 -0.423405           0
-0.183327 -0.800635            0
-0.40724 -0.758845             0
-0.54078 -0.801479             0
-0.662083 -0.722269            0
-0.720992 -0.554825            0
-0.773543 -0.498706            0
-0.825219 -0.351983            0
-0.862103 -0.262895            0
-1.00393 0.21406               0
-0.930389 1.22904              0
-0.520129 1.99452              0
-0.0150508 1.81237             0
0.292189 1.98133               0
0.570068 1.78746               0
0.719691 1.52423               0
0.864022 1.60506               0
1.02168 1.41713                0
1.26558 1.35391                0
1.61344 1.34607                0
2.01336 1.22433                0
2.20595 0.50917                0
2.15054 -0.160944              0
2.04229 -0.623651              0
1.90462 -0.810952              0
1.81945 -0.967633              0
1.72207 -1.25811               0
1.58263 -1.37678               0
1.30022 -1.58265               0
0.85573 -1.91552               0
0.25147 -2.17209               0
-0.16104 -1.45872              0
-0.249172 -0.520003            0
-0.199678 -0.182078            0
-0.142631 0.0632378            0
-0.123823 0.124224             0
-0.113025 0.213306             0
-0.102673 0.272495             0
0.0188075 0.287166             0
0.108756 0.28294               0
0.192197 0.181065              0
0.209837 -0.00954936           0
0.157036 -0.154499             0
0.113306 -0.229067             0
0.0699705 -0.249718            0
0.0446349 -0.217674            0
0.0293213 -0.222187            0
0.0159978 -0.24989             0
-0.309299 -0.195262            0
-0.355871 -0.195246            0
-0.410243 -0.208791            0
-0.458189 -0.179693            0
-0.486599 -0.0937612           0
-0.502873 -0.0553459           0
-0.50502 0.00789869            0
-0.494301 0.0521942            0
-0.492681 0.0475246            0
-0.486371 0.0990417            0
# Low Gain Weights: 6 10       
# (Amplitude)  (Time)          
-0.508787 -1.8512              0
-0.482402 -1.06646             0
-0.764704 -1.0321              0
-0.89732 -1.08093              0
-1.00112 -0.949638             0
-1.08997 -0.731505             0
-1.15379 -0.55427              0
-1.23129 -0.208521             0
-1.24038 0.181441              0
-1.0946 1.5747                 0
-0.760548 3.89286              0
-0.768054 2.78435              0
-0.0388176 2.74531             0
0.30468 3.00492                0
0.607574 3.03692               0
0.919068 3.02925               0
1.21051 3.06817                0
1.56039 3.21235                0
1.83534 3.54928                0
2.60839 4.14646                0
2.29192 1.47429                0
2.26241 0.98134                0
2.41491 0.106406               0
2.32984 -0.768902              0
2.19051 -1.3234                0
2.03991 -1.59426               0
1.88649 -2.01044               0
1.63313 -2.5487                0
1.42679 -3.31539               0
0.649283 -3.91761              0
0.937235 -1.55157              0
0.904694 -1.63591              0
0.549783 -1.06607              0
0.524229 -0.397922             0
0.54955 -0.0404911             0
0.546924 -0.138923             0
0.506861 -0.00935328           0
0.519261 0.118637              0
0.48628 0.51656                0
0.571592 -0.313517             0
0.60678 -1.15412               0
0.601982 -0.153964             0
0.566105 -0.196816             0
0.523068 -0.415408             0
0.464942 -0.445999             0
0.428435 -0.354879             0
0.40545 -0.523187              0
0.321979 -0.606825             0
0.312933 -1.06197              0
0.0312496 -1.21027             0
-0.113826 -0.71054             0
-0.123841 -0.810667            0
-0.28705 -0.429981             0
-0.298861 -0.222333            0
-0.315921 -0.263296            0
-0.353192 -0.316989            0
-0.397503 -0.0799875           0
-0.375387 -0.0788394           0
-0.411545 -0.0428121           0
-0.404853 -0.296136            0
