0 1 2 
0 1 6 
0 2 3 
0 3 4 
0 4 5 
0 5 6 
100 101 138 
100 137 138 
101 102 139 
10 11 24 
101 138 139 
102 103 140 
102 139 140 
10 23 24 
103 104 142 
103 140 141 
103 141 142 
104 105 143 
104 142 143 
105 106 144 
105 143 144 
106 107 145 
106 144 145 
107 108 146 
107 145 146 
108 109 147 
108 146 147 
109 110 149 
109 147 148 
109 148 149 
110 111 150 
110 149 150 
111 112 151 
111 150 151 
11 12 26 
112 113 152 
112 151 152 
11 24 25 
11 25 26 
113 114 153 
113 152 153 
114 115 154 
114 153 154 
115 116 156 
115 154 155 
115 155 156 
116 117 157 
116 156 157 
117 118 158 
117 157 158 
118 119 159 
118 158 159 
119 120 160 
119 159 160 
120 121 161 
120 160 161 
121 122 163 
121 161 162 
121 162 163 
12 13 27 
122 123 164 
122 163 164 
12 26 27 
123 124 165 
123 164 165 
124 125 166 
124 165 166 
125 126 167 
125 166 167 
126 167 168 
127 128 170 
127 168 216 
127 169 170 
127 169 216 
1 2 8 
128 129 171 
128 170 171 
129 130 172 
129 171 172 
130 131 173 
130 172 173 
131 132 174 
131 173 174 
13 14 29 
132 133 175 
132 174 175 
13 27 28 
13 28 29 
133 134 176 
133 175 176 
134 135 178 
134 176 177 
134 177 178 
135 136 179 
135 178 179 
136 137 180 
136 179 180 
137 138 181 
137 180 181 
138 139 182 
138 181 182 
139 140 183 
139 182 183 
140 141 184 
140 183 184 
141 142 186 
141 184 185 
141 185 186 
14 15 30 
142 143 187 
142 186 187 
14 29 30 
143 144 188 
143 187 188 
144 145 189 
144 188 189 
145 146 190 
145 189 190 
146 147 191 
146 190 191 
147 148 192 
147 191 192 
148 149 194 
148 192 193 
148 193 194 
149 150 195 
149 194 195 
150 151 196 
150 195 196 
151 152 197 
151 196 197 
15 16 32 
152 153 198 
152 197 198 
15 30 31 
15 31 32 
153 154 199 
153 198 199 
154 155 200 
154 199 200 
155 156 202 
155 200 201 
155 201 202 
156 157 203 
156 202 203 
157 158 204 
157 203 204 
158 159 205 
158 204 205 
159 160 206 
159 205 206 
160 161 207 
160 206 207 
161 162 208 
161 207 208 
16 17 33 
1 6 18 
162 163 210 
162 208 209 
162 209 210 
163 164 211 
163 210 211 
16 32 33 
164 165 212 
164 211 212 
165 166 213 
165 212 213 
166 167 214 
166 213 214 
167 168 215 
167 214 215 
168 215 216 
169 170 218 
169 216 270 
169 217 218 
169 217 270 
170 171 219 
170 218 219 
171 172 220 
171 219 220 
1 7 18 
17 18 35 
172 173 221 
172 220 221 
173 174 222 
173 221 222 
17 33 34 
17 34 35 
174 175 223 
174 222 223 
175 176 224 
175 223 224 
176 177 225 
176 224 225 
177 178 227 
177 225 226 
177 226 227 
1 7 8 
178 179 228 
178 227 228 
179 180 229 
179 228 229 
180 181 230 
180 229 230 
181 182 231 
181 230 231 
182 183 232 
182 231 232 
183 184 233 
183 232 233 
18 35 36 
184 185 234 
184 233 234 
185 186 236 
185 234 235 
185 235 236 
186 187 237 
186 236 237 
187 188 238 
187 237 238 
188 189 239 
188 238 239 
189 190 240 
189 239 240 
190 191 241 
190 240 241 
191 192 242 
191 241 242 
19 20 38 
192 193 243 
192 242 243 
193 194 245 
193 243 244 
193 244 245 
